source_title,chunk_id,page,section,ingredient,ingredient_id,matched_text,scope_verified,linkage_type
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:49:CLINICAL ASSESSMENT OF SAFETY:11,49,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:12,50,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:50:CLINICAL ASSESSMENT OF SAFETY:13,50,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:14,51,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:51:CLINICAL ASSESSMENT OF SAFETY:15,51,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:52:CLINICAL ASSESSMENT OF SAFETY:16,52,CLINICAL ASSESSMENT OF SAFETY,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:54:DISCUSSION:17,54,DISCUSSION,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:54:CONCLUSION:18,54,CONCLUSION,Ascorbic Acid,bf432576-e990-4b02-ac67-9d414af42d76,L-Ascorbic Acid,True,NEW_DOCUMENT
"Final Report of the Safety Assessment of L-Ascorbic Acid, Calcium Ascorbate, Magnesium Ascorbate, Magnesium Ascorbyl Phosphate, Sodium Ascorbate, and Sodium Ascorbyl Phosphate as Used in Cosmetics",cir_attachment:d0ca1f11-8e74-ec11-8943-0022482f06a6:54:CONCLUSION:18,54,CONCLUSION,Sodium Ascorbyl Phosphate,f3761c63-d931-420d-8cb2-eecf9d787631,Sodium Ascorbyl Phosphate,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:42:Clinical Studies:0,42,Clinical Studies,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:42:Clinical Studies:1,42,Clinical Studies,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:43:Clinical Studies:2,43,Clinical Studies,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:43:Clinical Studies:3,43,Clinical Studies,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:44:Clinical Studies:4,44,Clinical Studies,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Discussion:6,49,Discussion,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Discussion:7,49,Discussion,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Amended Safety Assessment of Salicylic Acid and Salicylates as Used in Cosmetics,cir_attachment:f8f3e083-2ca8-b5b4-b338-aa3ca6da8825:49:Conclusion:8,49,Conclusion,Salicylic Acid,5c3fa47f-b797-452c-bc86-04a872aa3f71,Salicylic Acid,True,NEW_DOCUMENT
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:10:Clinical Studies:0,10,Clinical Studies,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,Adenosine,True,NEW_DOCUMENT
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:10:Clinical Studies:1,10,Clinical Studies,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,Adenosine,True,NEW_DOCUMENT
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:11:Clinical Studies:2,11,Clinical Studies,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,Adenosine,True,NEW_DOCUMENT
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Discussion:3,12,Discussion,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,Adenosine,True,NEW_DOCUMENT
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Discussion:4,12,Discussion,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,Adenosine,True,NEW_DOCUMENT
